Event_ID,Timestamp,User_ID,Username,IP_Address,Device_Type,Operating_System,Browser,Location,Country,Authentication_Method,Login_Status,Failure_Reason,Account_Status,Login_Hour,Is_Night_Login,Session_ID,User_Failed_Login_Count,IP_Failed_Login_Count,Users_Per_IP,Locations_Per_User,Risk_Score,Risk_Level
EVT_100000,2026-08-01 00:01:01,USR_1020,user_1020,45.23.157.20,Laptop,macOS,Firefox,Berlin,Germany,Biometric,Success,,Active,0,Yes,ABE73A9E-0752-48BD,9,0.0,1,3,10,Low
EVT_100001,2026-08-01 00:01:28,USR_1120,user_1120,10.0.0.81,Desktop,macOS,Edge,Toronto,Canada,SSO,Success,,Active,0,Yes,16155216-B08E-42B4,20,12.0,3,3,25,Medium
EVT_100002,2026-08-01 00:01:44,USR_1120,user_1120,10.0.0.81,Desktop,macOS,Firefox,Toronto,Canada,Biometric,Success,,Active,0,Yes,92F922BE-3236-4704,20,12.0,3,3,25,Medium
EVT_100003,2026-08-01 00:02:31,USR_1105,user_1105,10.0.0.223,Mobile,iOS,Safari,Singapore,Singapore,Password,Success,,Active,0,Yes,BF31119C-4607-4E4E,8,3.0,1,3,10,Low
EVT_100004,2026-08-01 00:03:17,USR_1029,user_1029,10.0.0.239,Tablet,Android,Safari,Dubai,UAE,SSO,Failed,Account Locked,Locked,0,Yes,657B6679-6315-4B60,12,11.0,2,3,70,Critical
EVT_100005,2026-08-01 00:04:42,USR_1113,user_1113,192.168.1.16,Mobile,Android,Firefox,Toronto,Canada,MFA,Success,,Active,0,Yes,5B83AE7F-BE11-4CEC,14,20.0,4,3,45,Medium
EVT_100006,2026-08-01 00:06:16,USR_1124,user_1124,192.168.1.77,Desktop,Windows,Edge,Dubai,UAE,MFA,Success,,Active,0,Yes,F60F0238-90AB-4FD3,7,10.0,4,1,10,Low
EVT_100007,2026-08-01 00:06:32,USR_1057,user_1057,192.168.1.28,Laptop,macOS,Chrome,Sydney,Australia,MFA,Success,,Active,0,Yes,6F8715D7-780C-4CDC,15,10.0,3,2,25,Medium
EVT_100008,2026-08-01 00:07:42,USR_1180,user_1180,10.0.0.148,Desktop,macOS,Safari,New York,USA,SSO,Success,,Active,0,Yes,DE82A506-5434-4C2E,9,17.0,4,2,30,Medium
EVT_100009,2026-08-01 00:09:03,USR_1130,user_1130,192.168.1.120,Mobile,Android,Firefox,Sydney,Australia,SSO,Failed,Incorrect Password,Active,0,Yes,9C977169-689F-495D,5,2.0,2,2,40,Medium
EVT_100010,2026-08-01 00:09:46,USR_1214,user_1214,10.0.0.150,Mobile,Android,Safari,Toronto,Canada,SSO,Failed,Account Locked,Locked,0,Yes,603A0A82-3458-4C36,9,3.0,1,4,65,High
EVT_100011,2026-08-01 00:10:32,USR_1222,user_1222,192.168.1.191,Laptop,Linux,Edge,New York,USA,SSO,Failed,Incorrect Password,Active,0,Yes,F54CF6BD-3071-4322,9,3.0,1,1,40,Medium
EVT_100012,2026-08-01 00:11:37,USR_1180,user_1180,10.0.0.148,Desktop,macOS,Edge,New York,USA,SSO,Success,,Active,0,Yes,C4F866D1-4900-415C,9,17.0,4,2,30,Medium
EVT_100013,2026-08-01 00:12:57,USR_1084,user_1084,192.168.1.178,Mobile,iOS,Chrome,Toronto,Canada,SSO,Success,,Active,0,Yes,9948FAB0-82BB-4F76,8,4.0,1,2,10,Low
EVT_100014,2026-08-01 00:14:25,USR_1248,user_1248,192.168.1.41,Mobile,Android,Safari,Paris,France,Biometric,Failed,Incorrect Password,Active,0,Yes,0188AED8-CEBB-4E26,7,4.0,1,3,40,Medium
EVT_100015,2026-08-01 00:16:19,USR_1172,user_1172,10.0.0.146,Desktop,macOS,Safari,Tokyo,Japan,Password,Failed,Incorrect Password,Active,0,Yes,25C2AEE9-6783-4068,8,6.0,2,2,40,Medium
EVT_100016,2026-08-01 00:17:19,USR_1025,user_1025,192.168.1.243,Mobile,iOS,Edge,Mumbai,India,Biometric,Success,,Active,0,Yes,E3A56884-DBC1-467F,10,2.0,1,3,10,Low
EVT_100017,2026-08-01 00:19:05,USR_1014,user_1014,10.0.0.190,Desktop,macOS,Firefox,Dubai,UAE,SSO,Failed,Incorrect Password,Active,0,Yes,3D912107-7241-4079,10,8.0,2,2,40,Medium
EVT_100018,2026-08-01 00:19:20,USR_1156,user_1156,10.0.0.76,Laptop,Linux,Edge,Paris,France,SSO,Success,,Active,0,Yes,32CBD43E-9A47-4543,10,10.0,2,1,10,Low
EVT_100019,2026-08-01 00:20:24,USR_1163,user_1163,10.0.0.94,Tablet,iOS,Firefox,Toronto,Canada,Password,Success,,Active,0,Yes,78A4D646-700B-4919,9,3.0,1,2,10,Low
EVT_100020,2026-08-01 00:21:05,USR_1173,user_1173,192.168.1.161,Desktop,Windows,Safari,Toronto,Canada,Biometric,Success,,Active,0,Yes,D0067A7D-646C-459B,11,3.0,1,1,10,Low
EVT_100021,2026-08-01 00:22:04,USR_1176,user_1176,10.0.0.64,Tablet,iOS,Firefox,Toronto,Canada,MFA,Success,,Active,0,Yes,2C8EAB87-5CB5-413A,9,12.0,4,4,20,Low
EVT_100022,2026-08-01 00:22:22,USR_1060,user_1060,10.0.0.131,Tablet,iOS,Firefox,Mumbai,India,Biometric,Failed,Account Locked,Locked,0,Yes,03028416-A72F-453A,5,10.0,2,2,55,High
EVT_100023,2026-08-01 00:22:28,USR_1144,user_1144,192.168.1.16,Laptop,Linux,Safari,Tokyo,Japan,Biometric,Success,,Active,0,Yes,04AC8C28-0B33-4ACA,9,20.0,4,2,30,Medium
EVT_100024,2026-08-01 00:24:15,USR_1090,user_1090,192.168.1.248,Desktop,Linux,Edge,Tokyo,Japan,Biometric,Success,,Active,0,Yes,69B1AA77-4E5A-4A90,10,3.0,1,3,10,Low
EVT_100025,2026-08-01 00:25:44,USR_1174,user_1174,192.168.1.174,Laptop,Linux,Chrome,London,UK,Password,Failed,Incorrect Password,Active,0,Yes,57F9FD1A-41DB-4C43,8,3.0,1,1,40,Medium
EVT_100026,2026-08-01 00:27:22,USR_1033,user_1033,192.168.1.26,Tablet,iOS,Firefox,Dubai,UAE,SSO,Success,,Active,0,Yes,D70B2DD3-0AFC-48C2,7,6.0,1,2,10,Low
